20,0.0,0.0,0.05,2,2,5,100
20,0.0,1.0,0.05,2,2,5,100
20,0.0,5.0,0.05,2,2,5,100
20,0.0,10.0,0.05,2,2,5,100
20,0.0,20.0,0.05,2,2,5,100
20,0.01,0.0,0.05,2,2,5,91
20,0.01,1.0,0.05,2,2,5,96
20,0.01,5.0,0.05,2,2,5,95
20,0.01,10.0,0.05,2,2,5,97
20,0.01,20.0,0.05,2,2,5,94
20,0.05,0.0,0.05,2,2,5,74
20,0.05,1.0,0.05,2,2,5,73
20,0.05,5.0,0.05,2,2,5,75
20,0.05,10.0,0.05,2,2,5,74
20,0.05,20.0,0.05,2,2,5,69
20,0.1,0.0,0.05,2,2,5,49
20,0.1,1.0,0.05,2,2,5,54
20,0.1,5.0,0.05,2,2,5,52
20,0.1,10.0,0.05,2,2,5,49
20,0.1,20.0,0.05,2,2,5,48
20,0.2,0.0,0.05,2,2,5,24
20,0.2,1.0,0.05,2,2,5,31
20,0.2,5.0,0.05,2,2,5,30
20,0.2,10.0,0.05,2,2,5,25
20,0.2,20.0,0.05,2,2,5,29
20,0.25,0.0,0.05,2,2,5,22
20,0.25,1.0,0.05,2,2,5,14
20,0.25,5.0,0.05,2,2,5,23
20,0.25,10.0,0.05,2,2,5,18
20,0.25,20.0,0.05,2,2,5,15
20,0.5,0.0,0.05,2,2,5,1
20,0.5,1.0,0.05,2,2,5,3
20,0.5,5.0,0.05,2,2,5,1
20,0.5,10.0,0.05,2,2,5,1
20,0.5,20.0,0.05,2,2,5,1
